criança;25;12;11;18;20
acolhimento_institucional;11;5;4;15;28
poder_familiar;4;7;16;20;17
convivência;14;7;10;5;19
agravo_de_instrumento;9;4;2;12;26
infante;9;10;10;13;13
decisão;8;2;1;9;19
familiar;17;9;1;4;11
menor;1;8;18;5;9
eca;18;1;12;9;11
direito;20;3;7;4;6
ação;6;2;7;16;16
destituição;0;3;14;16;11
desprover;6;6;11;4;5
manter;4;2;13;10;6
guarda;0;9;14;6;6
dever;20;4;3;6;4
filho;0;14;3;4;12
família_substituta;11;2;9;15;1
adolescente;13;2;1;3;4
negligência;4;4;9;0;11
situação;2;15;8;4;5
caso;3;1;3;16;8
genitor;0;5;4;4;15
manutenção;9;4;4;2;10
família;17;3;0;3;5
materno;0;9;5;4;8
adoção;1;1;12;11;2
art;15;1;2;1;2
interesse;4;4;8;2;3
avô;2;5;2;3;9
princípio;8;1;6;6;3
melhor_interesse;4;0;3;13;4
família_extensa;3;2;15;2;1
cuidado;2;11;6;1;4
auto;1;5;1;9;8
assegurar;18;1;0;0;1
pedido;1;2;3;1;11
medida;7;3;1;8;1
colocação;9;1;0;13;1
agravo;4;1;1;0;2
recurso;2;3;2;5;4
prevalência;3;0;11;3;3
genitora;2;9;1;6;4
condição;0;8;3;7;3
forma;4;5;0;2;2
sentença;3;1;10;4;1
além;0;5;0;0;0
mãe;1;8;5;0;1
medida_de_proteção;3;0;1;4;11
visita;2;1;1;1;9
acolher;2;3;4;4;4
medida_protetiva;1;0;8;3;3
já;3;2;5;1;3
idade;3;9;3;0;1
ano;2;9;2;1;0
vida;2;2;0;0;2
suspensão;2;3;0;6;2
exercer;1;6;2;6;1
constituição_federal;14;1;0;0;0
apelação_cível;1;1;9;0;1
acolhimento;2;3;2;3;3
saúde;1;3;0;0;0
proteção;8;3;0;0;4
prever;15;0;0;0;0
institucionalmente;1;2;6;2;5
demonstrar;1;6;0;2;4
agravar;0;1;0;5;6
vínculo;2;7;6;0;0
situação_de_risco;0;2;7;1;2
preliminar;0;0;6;4;0
possibilidade;0;0;0;7;3
origem;7;3;1;1;1
contexto;0;8;2;1;1
artigo;10;0;0;2;0
aplicação;5;0;0;7;1
apelante;0;6;4;5;0
agravante;0;5;0;0;8
absoluto;6;0;2;0;0
violência;2;4;0;0;1
verificar;0;0;8;4;0
público;3;3;1;1;1
pretensão;2;3;1;2;5
juízo;0;3;0;7;2
estatuto_da_criança_e_do_adolescente;2;1;1;0;3
encontrar;1;3;2;3;4
citação;0;0;0;4;0
biológico;0;0;7;0;5
bem;4;3;3;0;3
social;1;4;2;0;4
salvo;1;2;0;0;1
restar;1;4;4;1;1
proteção_integral;10;1;1;0;0
pai;1;3;2;2;3
elemento;0;2;1;0;8
descabimento;2;0;0;3;6
apresentar;0;6;2;2;0
sociedade;9;0;0;0;0
rejeitar;0;0;6;2;0
reforma;0;0;0;1;10
quando;0;2;2;4;0
prioridade;4;0;0;0;0
precedente;0;0;1;3;0
pleito;2;0;0;2;8
paterno;1;0;0;1;7
opressão;3;4;0;0;1
julgar;1;0;1;6;0
jovem;4;0;0;0;1
inviabilidade;1;1;4;1;5
imediato;4;2;0;6;0
família_natural;4;0;4;1;3
exploração;2;3;0;0;1
discriminação;1;3;0;0;1
determinar;0;1;0;5;5
determinado;1;0;0;9;1
desacolhimento;0;1;0;0;11
crueldade;2;3;0;0;1
provimento;1;7;0;0;1
nascimento;0;0;9;0;1
momento;0;4;0;1;5
inserção;0;0;6;5;0
edital;0;0;1;2;0
dar;1;6;0;0;2
considerar;2;4;0;1;1
afetivo;0;2;6;3;0
abandono;0;1;7;0;3
unânime;1;9;0;0;0
tentativa;0;3;4;2;1
relação;1;1;1;1;0
razão;2;3;2;0;1
prova;0;0;0;2;8
proteger;0;3;0;0;5
possível;3;2;0;1;0
fato;0;1;6;0;0
acolhido;1;1;2;0;4
vulnerabilidade;1;3;1;2;1
visitação;0;0;0;0;5
técnica;1;5;0;1;2
realizar;0;0;1;2;0
provisório;1;1;0;6;1
nulidade;0;0;1;2;0
impossibilidade;1;1;3;0;4
falta;1;6;1;0;1
especial;1;1;4;1;0
equipa;2;6;0;0;1
devidamente;1;2;2;3;0
desenvolvimento;2;2;0;1;1
decorrência;0;2;6;0;1
confirmar;0;0;6;0;0
concreto;0;0;2;6;1
autorizar;0;0;0;1;4
ausência;0;2;0;0;3
ausente;0;0;2;0;3
ambiente;1;3;0;2;1
reunir;1;2;0;3;1
recorrente;0;4;1;0;3
questão;0;1;0;0;2
possuir;0;3;0;2;1
observar;3;1;0;2;1
neto;1;2;0;0;5
negar;0;6;0;1;1
ministério;2;2;0;1;1
maior;0;3;3;0;1
atendimento;2;2;0;0;0
assim;0;5;0;0;1
apelação;0;0;2;2;0
ainda;0;2;1;2;1
tio;0;1;2;3;0
também;1;4;0;0;0
risco;1;0;1;2;2
retorno;0;0;0;2;4
processo;0;0;6;0;1
pretendente;0;0;4;1;1
presente;0;1;1;3;1
preconizar;5;0;0;0;0
parental;0;1;2;4;0
mínimo;2;0;1;3;1
modo;4;0;0;0;0
mesmo;0;1;1;1;1
menina;0;4;0;1;2
melhor;2;1;0;0;0
laudo;0;2;0;2;2
irmão;0;3;2;1;1
histórico;1;2;1;0;1
evidenciar;2;2;0;2;0
droga;0;1;1;1;0
curador;0;0;4;1;0
contato;1;2;0;0;3
civil;1;0;2;0;1
cabimento;0;0;0;2;5
assumir;0;1;2;1;3
seio;5;0;0;0;1
residir;0;1;2;2;0
psicológico;0;3;0;0;1
próprio;1;1;0;0;2
protetivas;1;1;0;4;0
perda;0;3;1;0;2
núcleo;1;1;2;1;0
novo;0;1;1;0;3
mérito;0;0;0;3;0
meio;1;1;4;0;0
longo;0;5;0;0;0
justificar;0;3;1;0;1
institucional;0;0;0;0;6
inserir;0;0;6;0;0
guardião;0;2;4;0;0
embora;4;2;0;0;0
criar;4;0;0;2;0
cpc;0;0;0;2;1
constatar;0;3;0;0;3
atualmente;0;3;1;0;1
apelo;0;0;6;0;0
acercar;0;2;0;0;2
único;0;1;3;1;0
visar;1;0;1;1;0
tutelar;0;4;0;1;0
trato;0;0;4;0;0
tenro;3;0;2;0;0
suspenso;0;1;0;1;2
superar;0;0;0;0;3
suficiente;0;0;0;0;4
restabelecimento;1;0;0;0;3
relatório;0;5;0;0;0
recomendar;2;1;0;0;1
permitir;2;1;0;1;0
norteador;5;0;0;0;0
mau;0;0;4;0;0
instituição;2;1;1;0;1
inexistência;0;1;4;0;0
indicar;0;1;0;0;4
inclusive;0;2;1;0;0
ignorar;2;0;0;0;3
grave;1;2;1;0;1
filial;0;2;0;0;3
excepcional;3;0;0;2;0
episódio;0;4;0;0;1
emocional;0;1;0;1;1
efeito;0;1;0;0;2
educado;5;0;0;0;0
deferir;0;1;0;1;3
convívio;0;4;0;0;1
contar;0;3;0;1;0
conflito;0;2;0;2;1
cna;3;0;0;2;0
casal;0;2;0;1;0
até;0;1;0;0;4
assunto;1;1;2;0;1
aproximação;0;1;0;0;3
adequado;1;0;0;4;0
ademais;0;1;2;0;0
vista;0;1;0;0;3
vir;0;3;0;0;1
violação;0;1;2;0;0
vinculação;0;0;2;1;1
tutela;2;0;0;1;1
transitar;1;0;1;1;0
termo;2;0;0;2;0
tampouco;0;1;1;1;0
suspender;1;0;0;0;3
sofrer;0;2;2;0;0
sentido;1;0;0;0;3
sempre;0;0;0;0;4
ré;0;2;1;0;0
retornar;2;1;0;0;1
referência;2;0;2;0;0
rede;0;1;2;0;0
quo;0;0;0;4;0
pátrio;0;1;1;0;1
programa;0;1;0;0;3
produzir;0;0;0;2;2
procedimento;0;1;0;2;1
primordialmente;2;1;0;0;0
postular;0;1;1;1;1
posto;0;0;4;0;0
período;1;3;0;0;0
objectivo;2;0;0;0;1
norma;1;0;3;0;0
necessário;1;1;0;0;1
necessidade;0;1;3;0;0
narrar;0;1;0;1;1
mês;0;2;1;0;1
menos;0;4;0;0;0
menino;2;1;1;0;0
local;0;0;1;1;1
legal;0;1;2;1;0
lado;0;1;0;0;3
junto;2;1;0;0;0
infância;3;1;0;0;0
inexistir;0;0;0;0;3
indício;3;0;0;0;1
indeferir;0;1;0;1;1
grau;0;1;2;0;1
físico;0;0;0;2;1
formação;0;1;0;2;1
extenso;3;0;0;0;0
existência;0;0;2;0;1
exame;0;0;0;3;1
entanto;0;3;0;0;1
doutrina;4;0;0;0;0
diverso;0;2;0;0;1
devido;0;2;0;0;1
determinação;1;0;0;1;1
destituir;0;0;2;1;0
desenvolver;0;1;3;0;0
depois;0;1;1;1;0
consolidado;0;0;3;0;0
conselho;0;4;0;0;0
comprovar;0;0;2;2;0
comarca;0;1;0;2;0
colocar;0;4;0;0;0
benefício;0;3;0;0;1
avaliação;0;3;1;0;0
atual;0;4;0;0;0
aptar;0;0;1;3;0
apenas;0;1;1;2;0
afastamento;0;0;1;1;2
viver;0;3;0;0;0
usuário;0;1;1;1;0
tramitação;0;3;0;0;0
solução;1;2;0;0;0
sogro;0;3;0;0;0
rol;0;0;0;3;0
restauração;0;0;0;0;3
respeitado;3;0;0;0;0
requerido;0;0;3;0;0
reintegração;3;0;0;0;0
redução;1;0;0;1;1
recomendado;0;0;1;0;2
psíquico;0;0;0;2;1
prover;1;0;0;0;2
promover;0;0;0;1;2
priorizam;3;0;0;0;0
prioritário;2;0;1;0;0
preservação;3;0;0;0;0
ppa;0;0;0;2;1
posteriormente;0;1;1;1;0
posterior;0;0;1;2;0
pessoa;0;2;0;1;0
perspectiva;2;0;0;1;0
perpetrar;0;0;1;0;2
permanecer;1;2;0;0;0
passo;0;0;3;0;0
parente;0;1;2;0;0
parcialmente;0;0;0;0;3
olvidar;0;0;3;0;0
observância;1;0;1;1;0
nortear;0;0;3;0;0
nomear;0;0;2;1;0
nascer;0;2;0;1;0
nacional;1;0;0;2;0
mudança;0;1;0;1;1
motivo;0;0;0;3;0
manifestar;0;3;0;0;0
liça;0;0;3;0;0
interessado;0;1;1;1;0
integrante;0;0;3;0;0
indeferimento;0;0;0;0;3
inclusão;0;0;0;1;2
inc;2;1;0;0;0
habilitação;3;0;0;0;0
habilitado;0;0;1;2;0
fundamental;1;0;2;0;0
expor;1;1;0;0;1
estímulo;1;1;1;0;0
estágio;0;1;0;0;2
estudo;0;1;1;0;1
especialmente;0;1;0;2;0
drástico;0;0;0;2;1
ditame;3;0;0;0;0
desejo;0;2;0;0;1
denotar;0;1;1;0;1
decorrente;0;0;1;0;2
dano;1;0;2;0;0
cotejo;0;0;3;0;0
comportamento;0;1;1;0;1
causar;0;0;0;0;3
busca;0;2;0;0;1
auxílio;0;1;2;0;0
autorização;0;0;0;2;1
autor;0;0;3;0;0
atuante;0;0;2;1;0
atinente;0;0;3;0;0
apto;0;1;1;0;1
alto;0;2;0;0;1
alimento;1;0;0;1;1
ajuizado;0;0;0;2;1
afinidade;0;0;2;0;1
afetividade;0;0;2;0;1
acordo;1;1;0;0;1
abuso;0;1;1;0;1