de;78;80;94;107
a;15;67;85;60
em;85;58;70;64
o;6;53;69;54
que;8;57;68;47
ser;4;18;40;24
por;5;32;28;30
com;3;27;28;30
não;3;36;36;13
ao;3;18;17;22
poder;6;23;19;39
para;3;13;24;26
se;3;24;20;9
n;76;3;0;2
oitavo;52;1;0;0
ir;0;18;25;3
sua;2;14;13;7
estar;1;13;14;3
seu;2;13;5;7
1;2;4;5;7
como;0;6;10;4
haver;0;9;8;4
ter;0;8;11;3
um;1;5;7;4
ele;1;2;8;0
2;1;6;3;5
uma;1;8;10;0
desde;0;11;4;3
2023;18;0;0;0
sob;0;8;4;4
2024;18;0;0;0
sétimo;17;0;0;0
qualquer;0;9;2;1
3;0;6;2;4
227;1;0;0;2
qual;0;3;6;3
outro;0;4;6;3
11;16;0;0;0
09;14;1;0;0
estado;0;0;1;2
2022;13;1;0;0
05;10;0;1;0
primeiro;8;0;3;1
4;0;1;3;5
19;3;0;2;3
sem;0;5;5;2
mais;1;0;8;3
fim;1;1;3;5
entre;0;8;3;0
i;0;1;0;4
12;8;1;0;0
04;8;1;0;0
03;9;0;2;0
quanto;0;2;6;0
fazer;0;5;3;0
após;0;6;1;2
08;9;0;1;0
parte;1;1;3;2
5;0;3;2;2
isso;0;0;5;1
dois;0;2;2;4
c;0;0;2;3
22;6;0;0;0
02;7;0;0;0
ver;0;0;0;3
tanto;0;0;5;1
sobre;0;2;2;0
ela;0;4;3;0
ambos;0;4;1;2
2020;6;0;1;0
10;5;1;1;0
07;6;0;1;0
três;0;3;1;1
tal;0;4;2;0
lhe;2;2;1;0
contra;0;1;1;3
27;6;0;0;0
2018;5;0;1;0
2015;2;0;0;2
100;0;1;4;0
06;4;1;1;0
x;0;1;3;0
terceiro;0;2;2;1
tempo;0;3;2;0
somente;1;1;2;0
segundo;0;2;2;1
pouco;0;2;3;0
lhes;0;2;1;0
essa;0;2;1;0
25;0;3;2;0
2016;5;0;0;0
18;4;1;0;0
v;0;3;0;1
seis;0;2;2;0
m;0;1;2;1
esta;0;0;1;3
cada;0;0;2;1
30;3;0;1;0
29;4;0;0;0
26;4;0;0;0
23;3;1;0;0
16;4;0;0;0
14;2;2;0;0
101;0;0;2;1
si;0;1;2;0
saber;0;1;2;0
r;0;1;2;0
quem;0;2;1;0
apesar;0;1;2;0
98;0;0;0;3
2021;3;0;0;0
2017;3;0;0;0
2013;3;0;0;0
20;3;0;0;0
15;3;0;0;0
01;1;0;2;0