variable	occurences	formes	hapax	segments	hapax/formes
*ano_2013	721	345	57	22	0.16521739130434782
*ano_2014	307	165	23	9	0.1393939393939394
*ano_2015	491	265	35	16	0.1320754716981132
*ano_2016	1039	396	83	32	0.20959595959595959
*ano_2017	511	246	23	16	0.09349593495934959
*ano_2018	985	400	66	31	0.165
*ano_2019	230	145	26	8	0.1793103448275862
*ano_2020	1179	362	45	36	0.12430939226519337
*ano_2021	542	269	41	17	0.1524163568773234
*ano_2022	2246	672	176	69	0.2619047619047619
*ano_2023	3324	865	224	101	0.2589595375722543
*ano_2024	3964	1105	373	117	0.3375565610859729